,player_name,team_name,against,date,gw,tenGameAverage,points,rebounds,assists,blocks,steals,turnovers,fieldGoalAttempts,freeThrowAttempts,made3PointFGs,doubleDoubles,tripleDoubles,score
31395,ayo-dosunmu-20000117,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31465,marko-simonovic-19991015,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31168,bam-adebayo-19970718,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,34,8,20.4,6.0,3,3,-8,0,0,0,0,0,32.4
31147,kyle-lowry-19860325,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,22,5,4.8,1.5,0,3,-2,0,0,1,0,0,13.3
31358,cody-zeller-19921005,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31210,alex-caruso-19940228,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,17,16,3.5999999999999996,6.0,3,3,0,0,0,4,0,0,35.6
31230,kevin-love-19880907,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,18,9,4.8,3.0,0,3,0,0,0,1,0,0,20.8
31364,duncan-robinson-19940422,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31451,haywood-highsmith-19961209,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31222,tyler-herro-20000120,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,33,12,9.6,10.5,3,3,-4,0,0,0,0,0,34.1
31370,victor-oladipo-19920504,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,17,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31191,nikola-vucevic-19901024,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,34,12,10.799999999999999,1.5,0,0,-2,0,0,0,0,0,22.299999999999997
31127,jimmy-butler-19890914,Miami Heat,Chicago Bulls,2023-04-14T23:00:00Z,49,45,31,6.0,4.5,0,6,-4,0,0,0,0,0,43.5
